date,sector,exchange,pe
2023-03-01,Technology,NASDAQ,29.15546394084705
2023-02-28,Technology,NASDAQ,29.496327764615067
2023-02-27,Technology,NASDAQ,29.637596195843077
2023-02-24,Technology,NASDAQ,29.389774445085916
2023-02-23,Technology,NASDAQ,29.973899807593153
2023-02-22,Technology,NASDAQ,28.538945775748385
2023-02-21,Technology,NASDAQ,28.39645086039076
2023-02-17,Technology,NASDAQ,29.101184678051993
2023-02-16,Technology,NASDAQ,29.589258295612574
2023-02-15,Technology,NASDAQ,30.44342599119049
2023-02-14,Technology,NASDAQ,30.332686872513957
2023-02-13,Technology,NASDAQ,29.80765562843028
2023-02-10,Technology,NASDAQ,29.18405254443475
2023-02-09,Technology,NASDAQ,29.62570294105097
2023-02-08,Technology,NASDAQ,29.676902951289016
2023-02-07,Technology,NASDAQ,29.94940041536281
2023-02-06,Technology,NASDAQ,29.037022358291527
2023-02-03,Technology,NASDAQ,29.362287321966914
2023-02-02,Technology,NASDAQ,29.72211872899337
2023-02-01,Technology,NASDAQ,28.729648254961234
2023-01-31,Technology,NASDAQ,27.71846886616954
2023-01-30,Technology,NASDAQ,27.234783463780563
2023-01-27,Technology,NASDAQ,27.98842964558193
2023-01-26,Technology,NASDAQ,27.60414975435702
